,ID,Name,latitude,longitude,Rating,Url
19,ChIJCSTIPqWr0kwRd6II0mFjCLs,Coffee Way Donuts,44.2423231,-76.495364,4.7,https://maps.google.com/?cid=13477131156692968055
20,ChIJCXTFjP-q0kwRCfyPXRroxU4,Cakes by Krista,44.2318138,-76.4834794,4.2,https://maps.google.com/?cid=5676198105306889225
21,ChIJQSF2c_-q0kwR0YX5ug_isEk,Golden Rooster Delicatessen,44.231758,-76.482919,4.5,https://maps.google.com/?cid=5309992517859116497
22,ChIJr_FcKZur0kwRPnjDTh9E7mU,Loblaws,44.2428429,-76.5185193,4,https://maps.google.com/?cid=7344882943543965758
23,ChIJCXTFjP-q0kwR7vqndcbdfQE,Cakes by Krista,44.2317873,-76.4830202,0,https://maps.google.com/?cid=107485810573966062
24,ChIJ1URTjLWt0kwR1uiVvpMN2So,Loblaws,44.2607838,-76.572531,4,https://maps.google.com/?cid=3087513947748034774
25,ChIJC7q0jeWr0kwRmZTumqyEg_Y,Jame's Valu-mart,44.2589416,-76.4558077,3.7,https://maps.google.com/?cid=17763187232147936409
26,ChIJNcb1DJur0kwRVmAJsJKFcrk,Baskin-Robbins Kingston,44.2428154,-76.51606819999999,4.2,https://maps.google.com/?cid=13362889909426806870
27,ChIJk5LCo6qt0kwRSLJvgt5JTNE,Pearl's Sweets and Gift Baskets,44.2445384,-76.5792436,4.8,https://maps.google.com/?cid=15081510472176874056
28,ChIJzQUO6w-t0kwR_oEcO_FxCt0,Gord & Kim's No Frills,44.2375975,-76.5921552,4.1,https://maps.google.com/?cid=15927668313041961470
29,ChIJPx2X1p2r0kwRzeF_i_Rh5EA,Black Cat Bakery,44.2428784,-76.5032161,0,https://maps.google.com/?cid=4675970016057745869
30,ChIJwchLhfSs0kwR78LPqGQ9v4U,Toast & Jam,44.2375842,-76.5589918,4.6,https://maps.google.com/?cid=9637489230134362863
31,ChIJp8j8XvCs0kwRwyxgApZPz0E,Metro,44.23523,-76.5672262,4,https://maps.google.com/?cid=4742096438347967683
32,ChIJDXRcpaWt0kwR1pSWcGT96bw,Metro,44.2515339,-76.5900125,3.9,https://maps.google.com/?cid=13612689956531508438
33,ChIJ7eXa9jas0kwRLA7NN4mgjWo,Costco Wholesale,44.2601775,-76.5605635,4.4,https://maps.google.com/?cid=7677969450943712812
34,ChIJEebIZear0kwRr3wCyG5Ghts,Grant's No Frills,44.2643616,-76.50031210000002,4.1,https://maps.google.com/?cid=15818408182801398959
35,ChIJn0lexwCr0kwRQl99M_eWcjM,Metro,44.2324186,-76.49173979999999,3.9,https://maps.google.com/?cid=3707191431744282434
36,ChIJaU3i_6St0kwR7eYAr7XHkdI,Country Style,44.2369558,-76.579276,2,https://maps.google.com/?cid=15173128202726991597
37,ChIJn400cnyr0kwRV17Gl3akydQ,Country Style,44.2582985,-76.5183309,0,https://maps.google.com/?cid=15332967235619020375
38,ChIJnarJLEas0kwRirvy0luUCa4,Sage Flowers,44.2460966,-76.5759588,4.9,https://maps.google.com/?cid=12540717759491914634
39,ChIJCXTFjP-q0kwRCfyPXRroxU4,Cakes by Krista,44.2318138,-76.4834794,4.2,https://maps.google.com/?cid=5676198105306889225
40,ChIJQSF2c_-q0kwR0YX5ug_isEk,Golden Rooster Delicatessen,44.231758,-76.482919,4.5,https://maps.google.com/?cid=5309992517859116497
41,ChIJr_FcKZur0kwRPnjDTh9E7mU,Loblaws,44.2428429,-76.5185193,4,https://maps.google.com/?cid=7344882943543965758
42,ChIJCXTFjP-q0kwR7vqndcbdfQE,Cakes by Krista,44.2317873,-76.4830202,0,https://maps.google.com/?cid=107485810573966062
43,ChIJ1URTjLWt0kwR1uiVvpMN2So,Loblaws,44.2607838,-76.572531,4,https://maps.google.com/?cid=3087513947748034774
44,ChIJC7q0jeWr0kwRmZTumqyEg_Y,Jame's Valu-mart,44.2589416,-76.4558077,3.7,https://maps.google.com/?cid=17763187232147936409
45,ChIJNcb1DJur0kwRVmAJsJKFcrk,Baskin-Robbins Kingston,44.2428154,-76.51606819999999,4.2,https://maps.google.com/?cid=13362889909426806870
46,ChIJk5LCo6qt0kwRSLJvgt5JTNE,Pearl's Sweets and Gift Baskets,44.2445384,-76.5792436,4.8,https://maps.google.com/?cid=15081510472176874056
47,ChIJzQUO6w-t0kwR_oEcO_FxCt0,Gord & Kim's No Frills,44.2375975,-76.5921552,4.1,https://maps.google.com/?cid=15927668313041961470
48,ChIJPx2X1p2r0kwRzeF_i_Rh5EA,Black Cat Bakery,44.2428784,-76.5032161,0,https://maps.google.com/?cid=4675970016057745869
49,ChIJwchLhfSs0kwR78LPqGQ9v4U,Toast & Jam,44.2375842,-76.5589918,4.6,https://maps.google.com/?cid=9637489230134362863
50,ChIJp8j8XvCs0kwRwyxgApZPz0E,Metro,44.23523,-76.5672262,4,https://maps.google.com/?cid=4742096438347967683
51,ChIJDXRcpaWt0kwR1pSWcGT96bw,Metro,44.2515339,-76.5900125,3.9,https://maps.google.com/?cid=13612689956531508438
52,ChIJ7eXa9jas0kwRLA7NN4mgjWo,Costco Wholesale,44.2601775,-76.5605635,4.4,https://maps.google.com/?cid=7677969450943712812
53,ChIJEebIZear0kwRr3wCyG5Ghts,Grant's No Frills,44.2643616,-76.50031210000002,4.1,https://maps.google.com/?cid=15818408182801398959
54,ChIJn0lexwCr0kwRQl99M_eWcjM,Metro,44.2324186,-76.49173979999999,3.9,https://maps.google.com/?cid=3707191431744282434
55,ChIJaU3i_6St0kwR7eYAr7XHkdI,Country Style,44.2369558,-76.579276,2,https://maps.google.com/?cid=15173128202726991597
56,ChIJn400cnyr0kwRV17Gl3akydQ,Country Style,44.2582985,-76.5183309,0,https://maps.google.com/?cid=15332967235619020375
57,ChIJnarJLEas0kwRirvy0luUCa4,Sage Flowers,44.2460966,-76.5759588,4.9,https://maps.google.com/?cid=12540717759491914634
